05.00-3;Extração de carvão mineral;C-1
06.00-0;Extração de petróleo e gás natural;C-1
07.10-3;Extração de minério de ferro;C-1
07.21-9;Extração de minério de alumínio;C-1
07.22-7;Extração de minério de estanho;C-1
07.23-5;Extração de minério de manganês;C-1
07.24-3;Extração de minério de metais preciosos;C-1
07.25-1;Extração de minerais radioativos;C-1
07.29-4;Extração de minerais metálicos não-ferrosos não especificados anteriormente;C-1
08.10-0;Extração de pedra, areia e argila;C-1
08.91-6;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;C-1
08.92-4;Extração e refino de sal marinho e sal-gema;C-1
08.93-2;Extração de gemas (pedras preciosas e semipreciosas);C-1
08.99-1;Extração de minerais não-metálicos não especificados anteriormente;C-1
09.10-6;Atividades de apoio à extração de petróleo e gás natural;C-1
09.90-4;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;C-1
10.11;Abate de reses, exceto suínos;C-2
10.12-1;Abate de suínos, aves e outros pequenos animais;C-2
10.13-9;Fabricação de produtos de carne;C-2
10.20-1;Preservação do pescado e fabricação de produtos do pescado;C-2
10.31-7;Fabricação de conservas de frutas;C-2
10.32-5;Fabricação de conservas de legumes e outros vegetais;C-2
10.33-3;Fabricação de sucos de frutas, hortaliças e legumes;C-2
10.41-4;Fabricação de óleos vegetais em bruto, exceto óleo de milho;C-2
10.42-2;Fabricação de óleos vegetais refinados, exceto óleo de milho;C-2
10.43-1;Fabricação de margarina e outras gorduras vegetais e de óleos nãocomestíveis de animais;C-2
10.51-1;Preparação do leite;C-2
10.52-0;Fabricação de laticínios;C-2
10.53-8;Fabricação de sorvetes e outros gelados comestíveis;C-2
10.61-9;Beneficiamento de arroz e fabricação de produtos do arroz;C-2
10.62-7;Moagem de trigo e fabricação de derivados;C-2
10.63-5;Fabricação de farinha de mandioca e derivados;C-2
10.64-3;Fabricação de farinha de milho e derivados, exceto óleos de milho;C-2
10.65-1;Fabricação de amidos e féculas de vegetais e de óleos de milho;C-2
10.66-0;Fabricação de alimentos para animais;C-2
10.69-4;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;C-2
10.71-6;Fabricação de açúcar em bruto;C-2
10.72-4;Fabricação de açúcar refinado;C-2
10.81-3;Torrefação e moagem de café;C-2
10.82-1;Fabricação de produtos à base de café;C-2
10.91-1;Fabricação de produtos de panificação;C-2
10.92-9;Fabricação de biscoitos e bolachas;C-2
10.93-7;Fabricação de produtos derivados do cacau, de chocolates e confeitos;C-2
10.94-5;Fabricação de massas alimentícias;C-2
10.95-3;Fabricação de especiarias, molhos, temperos e condimentos;C-2
10.96-1;Fabricação de alimentos e pratos prontos;C-2
10.99-6;Fabricação de produtos alimentícios não especificados anteriormente;C-2
11.11;Fabricação de aguardentes e outras bebidas destiladas;C-2
11.12;Fabricação de vinho;C-2
11.13;Fabricação de malte, cervejas e chopes;C-2
11.21;Fabricação de águas envasadas;C-2
11.22;Fabricação de refrigerantes e de outras bebidas nãooólicas;C-2
12.10-7;Processamento industrial do fumo;C-2
12.20-4;Fabricação de produtos do fumo;C-2
13.11;Preparação e fiação de fibras de algodão;C-3
13.12-0;Preparação e fiação de fibras têxteis naturais, exceto algodão;C-3
13.13-8;Fiação de fibras artificiais e sintéticas;C-3
13.14-6;Fabricação de linhas para costurar e bordar;C-3
13.21-9;Tecelagem de fios de algodão;C-3
13.22-7;Tecelagem de fios de fibras têxteis naturais, exceto algodão;C-3
13.23-5;Tecelagem de fios de fibras artificiais e sintéticas;C-3
13.30-8;Fabricação de tecidos de malha;C-3a
13.40-5;Acabamentos em fios, tecidos e artefatos têxteis;C-3
13.51-1;Fabricação de artefatos têxteis para uso doméstico;C-3a
13.52-9;Fabricação de artefatos de tapeçaria;C-3a
13.53-7;Fabricação de artefatos de cordoaria;C-3a
13.54-5;Fabricação de tecidos especiais, inclusive artefatos;C-3a
